n,lambda_parameter,execution_model,p1_physical_copies,p2_physical_copies,p3_physical_copies,total_message_state_preparations,message_physical_qubit_instances,s2_bell_pairs,s4_bell_pairs,s6_bell_pairs,total_bell_pairs,total_bell_qubits,fresh_qotp_key_bits,quantum_transmitted_qubits,classical_transmitted_bits,teleportation_operations,s5_controlled_swap_gates,s7_controlled_swap_gates,total_controlled_swap_gates,teleportation_measurements,swap_test_measurements,total_measurements,bell_pair_preparation_gates,qotp_unitary_applications,total_modeled_operations,peak_live_qubits,fixed_lambda_scaling_in_n,joint_lambda_n_scaling
1,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,5,3,3,2,8,16,100,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,8,1,1,2,16,2,18,16,34,83,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
1,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,9,5,5,3,13,26,164,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,13,2,2,4,26,4,30,26,56,138,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
1,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,17,9,9,5,23,46,292,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,23,4,4,8,46,8,54,46,100,248,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
1,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,33,17,17,9,43,86,548,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,43,8,8,16,86,16,102,86,188,468,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
2,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,10,6,6,4,16,32,200,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,16,2,2,4,32,2,34,32,68,164,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
2,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,18,10,10,6,26,52,328,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,26,4,4,8,52,4,56,52,112,272,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
2,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,34,18,18,10,46,92,584,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,46,8,8,16,92,8,100,92,200,488,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
2,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,66,34,34,18,86,172,1096,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,86,16,16,32,172,16,188,172,376,920,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
3,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,15,9,9,6,24,48,300,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,24,3,3,6,48,2,50,48,102,245,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
3,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,27,15,15,9,39,78,492,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,39,6,6,12,78,4,82,78,168,406,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
3,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,51,27,27,15,69,138,876,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,69,12,12,24,138,8,146,138,300,728,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
3,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,99,51,51,27,129,258,1644,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,129,24,24,48,258,16,274,258,564,1372,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
4,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,20,12,12,8,32,64,400,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,32,4,4,8,64,2,66,64,136,326,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
4,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,36,20,20,12,52,104,656,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,52,8,8,16,104,4,108,104,224,540,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
4,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,68,36,36,20,92,184,1168,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,92,16,16,32,184,8,192,184,400,968,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
4,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,132,68,68,36,172,344,2192,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,172,32,32,64,344,16,360,344,752,1824,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
5,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,25,15,15,10,40,80,500,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,40,5,5,10,80,2,82,80,170,407,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
5,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,45,25,25,15,65,130,820,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,65,10,10,20,130,4,134,130,280,674,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
5,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,85,45,45,25,115,230,1460,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,115,20,20,40,230,8,238,230,500,1208,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
5,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,165,85,85,45,215,430,2740,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,215,40,40,80,430,16,446,430,940,2276,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
6,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,30,18,18,12,48,96,600,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,48,6,6,12,96,2,98,96,204,488,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
6,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,54,30,30,18,78,156,984,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,78,12,12,24,156,4,160,156,336,808,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
6,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,102,54,54,30,138,276,1752,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,138,24,24,48,276,8,284,276,600,1448,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
6,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,198,102,102,54,258,516,3288,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,258,48,48,96,516,16,532,516,1128,2728,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
7,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,35,21,21,14,56,112,700,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,56,7,7,14,112,2,114,112,238,569,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
7,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,63,35,35,21,91,182,1148,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,91,14,14,28,182,4,186,182,392,942,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
7,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,119,63,63,35,161,322,2044,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,161,28,28,56,322,8,330,322,700,1688,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
7,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,231,119,119,63,301,602,3836,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,301,56,56,112,602,16,618,602,1316,3180,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
8,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,40,24,24,16,64,128,800,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,64,8,8,16,128,2,130,128,272,650,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
8,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,72,40,40,24,104,208,1312,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,104,16,16,32,208,4,212,208,448,1076,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
8,4,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",9,4,4,17,136,72,72,40,184,368,2336,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,184,32,32,64,368,8,376,368,800,1928,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
8,8,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",17,8,8,33,264,136,136,72,344,688,4384,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,344,64,64,128,688,16,704,688,1504,3632,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
9,1,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",3,1,1,5,45,27,27,18,72,144,900,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,72,9,9,18,144,2,146,144,306,731,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
9,2,"one protocol execution with 2*lambda+1 p1 copies, lambda p2 copies, lambda p3 copies, and random S5/S7 subset verification",5,2,2,9,81,45,45,27,117,234,1476,REQUIRES_MANUSCRIPT_CONFIRMATION,REQUIRES_MANUSCRIPT_CONFIRMATION,117,18,18,36,234,4,238,234,504,1210,REQUIRES_MANUSCRIPT_CONFIRMATION,O(n),O(lambda*n)
